stock_id,images,age,city,highway,transmission,drive,engine,cylinder,horsepower,torque,rating_5,rating_4,rating_3,rating_2,rating_1,mileage,owner,event,recall,"store[T.Fremont, CA]","store[T.Fresno, CA]","store[T.Modesto, CA]","store[T.Pleasanton, CA]","store[T.Reno, NV]","store[T.Roseville, CA]","store[T.Sacramento, CA]","store[T.San Francisco, CA]","store[T.San Jose, CA]","store[T.Santa Rosa, CA]",Intercept,make[T.Audi],make[T.BMW],make[T.Buick],make[T.Cadillac],make[T.Chevrolet],make[T.Chrysler],make[T.Dodge],make[T.Fiat],make[T.Ford],make[T.GMC],make[T.Honda],make[T.Hyundai],make[T.Infiniti],make[T.Jaguar],make[T.Jeep],make[T.Kia],make[T.Land],make[T.Lexus],make[T.Lincoln],make[T.Mazda],make[T.Mercedes-Benz],make[T.Mercury],make[T.Mini],make[T.Mitsubishi],make[T.Nissan],make[T.Pontiac],make[T.Porsche],make[T.Scion],make[T.Smart],make[T.Subaru],make[T.Toyota],make[T.Volkswagen],make[T.Volvo],torque_log,horsepower_log,image_quad,image_cub,age_quad,age_cub,luxury,mileage_morethan_100k,predicted,price,pred_perc
16211408,21,2,29.0,38.0,1,0,1.4,4.0,98.0,94.0,1,1,0,0,0,5.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.543294782270004,4.584967478670572,441,9261,4,8,0.0,0,15542.29522481824,11998.0,1.2954071699298415
16062200,24,2,18.0,24.0,0,0,3.3,6.0,276.0,248.0,1,0,0,0,0,57.0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5134287461649825,5.62040086571715,576,13824,4,8,0.0,0,22698.620640610854,17998.0,1.2611746105462192
16062799,26,6,18.0,27.0,0,0,3.7,6.0,304.0,279.0,3,5,0,0,0,22.0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.631211781821365,5.717027701406222,676,17576,36,216,1.0,0,25956.274300907728,18998.0,1.3662635172601183
15718714,22,6,16.0,22.0,0,1,3.7,6.0,273.0,270.0,5,6,0,0,0,125.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598421958998375,5.60947179518496,484,10648,36,216,0.0,1,17223.962253417234,12998.0,1.3251240385764913
16185908,20,5,126.0,101.0,0,0,2.7484978001257074,4.92394720301697,107.0,187.0,1,2,0,0,1,31.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.672828834461906,400,8000,25,125,0.0,0,12446.59898499196,9998.0,1.244908880275251
16062991,24,9,17.0,25.0,0,1,3.7,6.0,305.0,273.0,8,5,0,0,1,124.0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60947179518496,5.720311776607412,576,13824,81,729,0.0,1,17085.70168906854,11998.0,1.4240458150582214
16182612,19,2,23.676431424766978,31.466045272969374,0,0,5.7,8.0,395.0,410.0,0,0,0,0,0,11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.016157159698354,5.978885764901122,361,6859,4,8,1.0,0,28936.782683825524,20998.0,1.378073277637181
15831372,20,2,23.676431424766978,31.466045272969374,0,0,1.5,4.0,227.04213298222516,228.3531746031746,0,1,0,0,0,41.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,400,8000,4,8,0.0,0,19261.270406715965,15998.0,1.2039798979069862
15832530,22,2,20.0,27.0,0,1,2.0,4.0,245.0,275.0,1,0,0,0,0,10.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.616771097666572,5.501258210544727,484,10648,4,8,0.0,0,27657.534631292496,21998.0,1.2572749627826392
15869403,20,4,23.0,34.0,0,0,2.0,4.0,240.0,260.0,0,0,0,0,0,42.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528,5.480638923341991,400,8000,16,64,1.0,0,21070.157745067077,16998.0,1.2395668752245603
